Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-7.68725238451815E-09,0.0223035726629275,-0.000117196159259872,0,0,0,0.0960374647687131,0.000137660900428952,-4.47337774478822E-12,6.84507669834107E-11,0.000207983638444363,-3.91396755618807E-06,0.000127992374265441,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-0.00643461830391594,0.0172894164537123,-0.00137199474310693,0,0,0,0.0680383193949222,5.81331983559237E-05,5.17766059437661E-06,-6.41757849795515E-07,5.46763949062911E-05,6.24275294196728E-06,4.50177342282271E-05,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_1.STL,,Waist-1,Origin_joint0,Axis_joint0,joint0,continuous,0,0,0.057,1.5707963267949,0,-1.70008950174165,base_link,0,1,0,,,,,,,,,,,,
Link_2,-0.000129917894307566,0.0585889748371736,0.00596910140378169,0,0,0,0.0643952062577739,0.00010704064713953,-8.66170766192282E-10,2.17042389149384E-10,9.11014232874422E-06,2.40320563064038E-07,0.000111847051750703,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_2.STL,0,0.254901960784314,0.92156862745098,1,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_2.STL,,Arm 01-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0.040276480175933,-0.0139185063019886,1.5707963267949,0.279843773254232,1.5707963267949,Link_1,0,0,1,,,,,,,,,,,,
Link_3,2.78406776982598E-05,0.0392852876995278,0.0124088574191166,0,0,0,0.0502682622408893,5.46008164037692E-05,-6.95726497999282E-08,-4.92696357506361E-11,9.28677666246469E-06,-2.87528254238966E-07,5.81489570583603E-05,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_3.STL,,Arm 02 v3-1,Origin_joint2,Axis_joint2,joint2,continuous,0,0.12,0,3.14159265358979,0,1.04149559388931,Link_2,0,0,1,,,,,,,,,,,,
Link_4,0.00504601384504058,0.0369133443513942,-0.00526460478781959,0,0,0,0.0164994774371153,3.91220064665289E-06,1.15332740113581E-08,-3.99351888751122E-09,2.61247401048814E-06,5.75784685648565E-07,5.02236310727864E-06,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/Link_4.STL,,Arm 03-1,Origin_joint3,Axis_joint3,joint3,continuous,-0.00530000000000022,0.0725277706940939,0.0125000000000004,0,0,0,Link_3,0,1,0,,,,,,,,,,,,
End_effector,-0.0106496669276151,0.00865268061193392,0.0489386267179806,0,0,0,0.0420474406625632,1.18088861549434E-05,-3.87366189241723E-07,-1.38624153727327E-06,1.32292970089482E-05,-1.36413004494688E-06,3.99155771372674E-06,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/End_effector.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://RoboticArmFinalURDF.SLDASM/meshes/End_effector.STL,,Gripper Assembly-1,Origin_endeffectorjoint,Axis_endeffectorjoint,endeffectorjoint,continuous,0.00499999999999995,0.0470722293044142,0,-1.10714871779409,-1.57079631189374,1.05634501373587,Link_4,1,0,0,,,,,,,,,,,,
